Snow White and the Seven Dwarfs;19371221;Musical;G;184925485;5228953251;19371221;19371221;21/12/1937;1025;1025
Pinocchio;19400209;Adventure;G;84300000;2188229052;19400209;19400209;09/02/1940;1000;1000
Fantasia;19401113;Musical;G;83320000;2187090808;19401113;19401113;13/11/1940;991;991
Song of the South;19461112;Adventure;G;65000000;1078510579;19461112;19461112;12/11/1946;919;919
Cinderella;19500215;Drama;G;85000000;920608730;19500215;19500215;15/02/1950;880;880
20000 Leagues Under the Sea;19541223;Adventure;;28200000;528279994;19541223;19541223;23/12/1954;821;821
Lady and the Tramp;19550622;Drama;G;93600000;1236035515;19550622;19550622;22/06/1955;815;815
Sleeping Beauty;19590129;Drama;;9464608;21505832;19590129;19590129;29/01/1959;772;772
101 Dalmatians;19610125;Comedy;G;153000000;1362870985;19610125;19610125;25/01/1961;748;748
The Absent Minded Professor;19610316;Comedy;;25381407;310094574;19610316;19610316;16/03/1961;747;747
Babes in Toyland;19611214;Musical;G;10218316;124841160;19611214;19611214;14/12/1961;738;738
Bon Voyage!;19620517;Comedy;Not Rated;9230769;109581646;19620517;19620517;17/05/1962;733;733
The Sword in the Stone;19631225;Adventure;;22182353;153870834;19631225;19631225;25/12/1963;713;713
The Jungle Book;19671018;Musical;Not Rated;141843000;789612346;19671018;19671018;18/10/1967;668;668
Blackbeard's Ghost;19680208;Comedy;;21540050;138612686;19680208;19680208;08/02/1968;664;664
The Aristocats;19700424;Musical;G;55675257;255161499;19700424;19700424;24/04/1970;637;637
The Boatniks;19700701;Comedy;;18607492;101200742;19700701;19700701;01/07/1970;635;635
Bedknobs and Broomsticks;19711007;Musical;;17871174;91305448;19711007;19711007;07/10/1971;620;620
The Apple Dumpling Gang;19750701;Comedy;;31916500;131246872;19750701;19750701;01/07/1975;575;575
Freaky Friday;19770121;Comedy;;25942000;98067733;19770121;19770121;21/01/1977;556;556
The Many Adventures of Winnie the Pooh;19770311;;;0;0;19770311;19770311;11/03/1977;555;555
The Rescuers;19770622;Adventure;;48775599;159743914;19770622;19770622;22/06/1977;551;551
Herbie Goes to Monte Carlo;19770624;;;28000000;105847527;19770624;19770624;24/06/1977;551;551
The Black Hole;19791221;;;35841901;120377374;19791221;19791221;21/12/1979;521;521
Midnight Madness;19800208;;;2900000;9088096;19800208;19800208;08/02/1980;520;520
The Last Flight of Noah’s Ark;19800625;;;11000000;34472116;19800625;19800625;25/06/1980;515;515
The Devil and Max Devlin;19810101;;;16000000;48517980;19810101;19810101;01/01/1981;509;509
Amy;19810320;Drama;;0;0;19810320;19810320;20/03/1981;506;506
The Fox and the Hound;19810710;Comedy;;43899231;133118889;19810710;19810710;10/07/1981;503;503
Condorman;19810807;Action;;0;0;19810807;19810807;07/08/1981;502;502
Night Crossing;19820205;Drama;;4500000;12903059;19820205;19820205;05/02/1982;496;496
Tron;19820709;Action;;26918576;77184895;19820709;19820709;09/07/1982;491;491
Tex;19821119;Drama;;7199408;20643199;19821119;19821119;19/11/1982;486;486
Trenchcoat;19830311;Comedy;;4304286;11519089;19830311;19830311;11/03/1983;483;483
Something Wicked This Way Comes;19830429;Horror;;5656087;15136765;19830429;19830429;29/04/1983;481;481
Never Cry Wolf;19831007;Drama;;27668764;70669955;19831007;19831007;07/10/1983;476;476
Running Brave;19831104;Drama;;1204595;3223725;19831104;19831104;04/11/1983;475;475
Splash;19840309;Comedy;PG;62599495;157057661;19840309;19840309;09/03/1984;471;471
Country;19840929;Drama;;8400000;21075000;19840929;19840929;29/09/1984;464;464
Baby: Secret of the Lost Legend;19850322;Adventure;;14276095;33900697;19850322;19850322;22/03/1985;458;458
Return to Oz;19850621;Adventure;;10618813;25215934;19850621;19850621;21/06/1985;455;455
The Black Cauldron;19850724;Adventure;;21288692;50553142;19850724;19850724;24/07/1985;454;454
My Science Project;19850809;Comedy;;4100000;9736051;19850809;19850809;09/08/1985;454;454
The Journey of Natty Gann;19850927;Drama;;9468512;22302956;19850927;19850927;27/09/1985;452;452
One Magic Christmas;19851122;Drama;;13229514;31415432;19851122;19851122;22/11/1985;450;450
Down and Out in Beverly Hills;19860131;Comedy;R;62134225;141183693;19860131;19860131;31/01/1986;448;448
Off Beat;19860411;Comedy;;4842778;11003932;19860411;19860411;11/04/1986;446;446
Ruthless People;19860627;Comedy;R;71624879;162748712;19860627;19860627;27/06/1986;443;443
The Great Mouse Detective;19860702;Adventure;;23605534;53637367;19860702;19860702;02/07/1986;443;443
Flight of the Navigator;19860730;Adventure;;18564613;42183197;19860730;19860730;30/07/1986;442;442
Tough Guys;19861003;Comedy;;21458229;48758184;19861003;19861003;03/10/1986;440;440
The Color of Money;19861017;Drama;R;52293000;117957323;19861017;19861017;17/10/1986;440;440
Outrageous Fortune;19870130;Comedy;R;52864741;113976921;19870130;19870130;30/01/1987;436;436
Tin Men;19870306;Comedy;;25411386;54787202;19870306;19870306;06/03/1987;435;435
Ernest Goes to Camp;19870522;Comedy;;23509382;50686462;19870522;19870522;22/05/1987;432;432
Benji the Hunted;19870605;Adventure;;15212539;32798382;19870605;19870605;05/06/1987;432;432
Adventures in Babysitting;19870703;Comedy;;33790923;72853569;19870703;19870703;03/07/1987;431;431
Stakeout;19870805;Comedy;R;65673233;141592160;19870805;19870805;05/08/1987;430;430
Can't Buy Me Love;19870814;Romantic Comedy;;31623833;68181300;19870814;19870814;14/08/1987;430;430
Hello Again;19871106;Comedy;;20419446;44024529;19871106;19871106;06/11/1987;427;427
3 Men and a Baby;19871125;Comedy;PG;167780960;353334607;19871125;19871125;25/11/1987;426;426
Good Morning Vietnam;19871223;Comedy;R;123922370;254414837;19871223;19871223;23/12/1987;425;425
Shoot to Kill;19880212;Action;;29300000;60097074;19880212;19880212;12/02/1988;424;424
D.O.A.;19880318;Thriller/Suspense;;12706478;26062188;19880318;19880318;18/03/1988;423;423
Return to Snowy River;19880415;Adventure;PG;13687027;28073384;19880415;19880415;15/04/1988;422;422
Big Business;19880610;Comedy;PG;40150487;82352451;19880610;19880610;10/06/1988;420;420
Who Framed Roger Rabbit?;19880622;Comedy;PG;154112492;316250084;19880622;19880622;22/06/1988;419;419
Cocktail;19880729;Drama;R;78222753;160442289;19880729;19880729;29/07/1988;418;418
The Rescue;19880805;Action;;5855392;12009960;19880805;19880805;05/08/1988;418;418
Heartbreak Hotel;19880930;Comedy;;5509417;11300331;19880930;19880930;30/09/1988;416;416
The Good Mother;19881104;Drama;;4764606;9772655;19881104;19881104;04/11/1988;415;415
Ernest Saves Christmas;19881111;Comedy;PG;28202109;57845202;19881111;19881111;11/11/1988;415;415
Oliver & Company;19881118;Adventure;G;49576671;102254492;19881118;19881118;18/11/1988;415;415
Beaches;19881221;Drama;PG-13;57041866;120381757;19881221;19881221;21/12/1988;413;413
Three Fugitives;19890127;Comedy;PG-13;40590000;85757817;19890127;19890127;27/01/1989;412;412
New York Stories;19890301;Drama;PG;10763469;22740861;19890301;19890301;01/03/1989;411;411
Disorganized Crime;19890414;Comedy;;7210149;15233465;19890414;19890414;14/04/1989;410;410
Dead Poets Society;19890602;Drama;PG;95860116;202531517;19890602;19890602;02/06/1989;408;408
Honey  I Shrunk the Kids;19890623;Adventure;PG;130724172;276191669;19890623;19890623;23/06/1989;407;407
