id;movie_title;release_date;genre;mpaa_rating;total_gross;inflation_adjusted_gross
1;Snow White and the Seven Dwarfs;21/12/1937;Musical;G;184925485;5228953251
2;Pinocchio;09/02/1940;Adventure;G;84300000;2188229052
3;Fantasia;13/11/1940;Musical;G;83320000;2187090808
4;Song of the South;12/11/1946;Adventure;G;65000000;1078510579
5;Cinderella;15/02/1950;Drama;G;85000000;920608730
6;20000 Leagues Under the Sea;23/12/1954;Adventure;;28200000;528279994
7;Lady and the Tramp;22/06/1955;Drama;G;93600000;1236035515
8;Sleeping Beauty;29/01/1959;Drama;;9464608;21505832
9;101 Dalmatians;25/01/1961;Comedy;G;153000000;1362870985
10;The Absent Minded Professor;16/03/1961;Comedy;;25381407;310094574
11;Babes in Toyland;14/12/1961;Musical;G;10218316;124841160
12;Bon Voyage!;17/05/1962;Comedy;Not Rated;9230769;109581646
13;The Sword in the Stone;25/12/1963;Adventure;;22182353;153870834
14;The Jungle Book;18/10/1967;Musical;Not Rated;141843000;789612346
15;Blackbeard's Ghost;08/02/1968;Comedy;;21540050;138612686
16;The Aristocats;24/04/1970;Musical;G;55675257;255161499
17;The Boatniks;01/07/1970;Comedy;;18607492;101200742
18;Bedknobs and Broomsticks;07/10/1971;Musical;;17871174;91305448
19;The Apple Dumpling Gang;01/07/1975;Comedy;;31916500;131246872
20;Freaky Friday;21/01/1977;Comedy;;25942000;98067733
21;The Many Adventures of Winnie the Pooh;11/03/1977;;;0;0
22;The Rescuers;22/06/1977;Adventure;;48775599;159743914
23;Herbie Goes to Monte Carlo;24/06/1977;;;28000000;105847527
24;The Black Hole;21/12/1979;;;35841901;120377374
25;Midnight Madness;08/02/1980;;;2900000;9088096
26;The Last Flight of Noah’s Ark;25/06/1980;;;11000000;34472116
27;The Devil and Max Devlin;01/01/1981;;;16000000;48517980
28;Amy;20/03/1981;Drama;;0;0
29;The Fox and the Hound;10/07/1981;Comedy;;43899231;133118889
30;Condorman;07/08/1981;Action;;0;0
31;Night Crossing;05/02/1982;Drama;;4500000;12903059
32;Tron;09/07/1982;Action;;26918576;77184895
33;Tex;19/11/1982;Drama;;7199408;20643199
34;Trenchcoat;11/03/1983;Comedy;;4304286;11519089
35;Something Wicked This Way Comes;29/04/1983;Horror;;5656087;15136765
36;Never Cry Wolf;07/10/1983;Drama;;27668764;70669955
37;Running Brave;04/11/1983;Drama;;1204595;3223725
38;Splash;09/03/1984;Comedy;PG;62599495;157057661
39;Country;29/09/1984;Drama;;8400000;21075000
40;Baby: Secret of the Lost Legend;22/03/1985;Adventure;;14276095;33900697
41;Return to Oz;21/06/1985;Adventure;;10618813;25215934
42;The Black Cauldron;24/07/1985;Adventure;;21288692;50553142
43;My Science Project;09/08/1985;Comedy;;4100000;9736051
44;The Journey of Natty Gann;27/09/1985;Drama;;9468512;22302956
45;One Magic Christmas;22/11/1985;Drama;;13229514;31415432
46;Down and Out in Beverly Hills;31/01/1986;Comedy;R;62134225;141183693
47;Off Beat;11/04/1986;Comedy;;4842778;11003932
48;Ruthless People;27/06/1986;Comedy;R;71624879;162748712
