id;movie_title;num_launch_days;genre;mpaa_rating;total_gross;inflation_adjusted_gross
1;Snow White and the Seven Dwarfs;1500;Musical;G;184925485;5228953251
2;Pinocchio;2000;Adventure;G;84300000;2188229052
3;Fantasia;200;Musical;G;83320000;2187090808
4;Song of the South;200;Adventure;G;65000000;1078510579
5;Cinderella;880;Drama;G;85000000;920608730
6;20000 Leagues Under the Sea;821;Adventure;28200000;528279994;
7;Lady and the Tramp;815;Drama;G;93600000;1236035515
8;Sleeping Beauty;772;Drama;9464608;21505832;
9;101 Dalmatians;748;Comedy;G;153000000;1362870985
10;The Absent Minded Professor;747;Comedy;25381407;310094574;
11;Babes in Toyland;738;Musical;G;10218316;124841160
12;Bon Voyage!;733;Comedy;Not Rated;9230769;109581646
13;The Sword in the Stone;713;Adventure;22182353;153870834;
14;The Jungle Book;668;Musical;Not Rated;141843000;789612346
15;Blackbeard's Ghost;664;Comedy;21540050;138612686;
16;The Aristocats;637;Musical;G;55675257;255161499
17;The Boatniks;635;Comedy;18607492;101200742;
18;Bedknobs and Broomsticks;620;Musical;17871174;91305448;
19;The Apple Dumpling Gang;575;Comedy;31916500;131246872;
20;Freaky Friday;556;Comedy;25942000;98067733;
21;The Many Adventures of Winnie the Pooh;555;;0;0;
22;The Rescuers;551;Adventure;48775599;159743914;
23;Herbie Goes to Monte Carlo;551;;28000000;105847527;
24;The Black Hole;521;;35841901;120377374;
25;Midnight Madness;520;;2900000;9088096;
26;The Last Flight of Noah’s Ark;515;;11000000;34472116;
27;The Devil and Max Devlin;509;;16000000;48517980;
28;Amy;506;Drama;0;0;
29;The Fox and the Hound;503;Comedy;43899231;133118889;
30;Condorman;502;Action;0;0;
31;Night Crossing;496;Drama;4500000;12903059;
32;Tron;491;Action;26918576;77184895;
33;Tex;486;Drama;7199408;20643199;
34;Trenchcoat;483;Comedy;4304286;11519089;
35;Something Wicked This Way Comes;481;Horror;5656087;15136765;
36;Never Cry Wolf;476;Drama;27668764;70669955;
37;Running Brave;475;Drama;1204595;3223725;
38;Splash;471;Comedy;PG;62599495;157057661
39;Country;464;Drama;8400000;21075000;
40;Baby: Secret of the Lost Legend;458;Adventure;14276095;33900697;
41;Return to Oz;455;Adventure;10618813;25215934;
42;The Black Cauldron;454;Adventure;21288692;50553142;
43;My Science Project;454;Comedy;4100000;9736051;
44;The Journey of Natty Gann;452;Drama;9468512;22302956;
45;One Magic Christmas;450;Drama;13229514;31415432;
46;Down and Out in Beverly Hills;448;Comedy;R;62134225;141183693
47;Off Beat;446;Comedy;4842778;11003932;
48;Ruthless People;443;Comedy;R;71624879;162748712
49;The Great Mouse Detective;443;Adventure;23605534;53637367;
50;Flight of the Navigator;442;Adventure;18564613;42183197;
51;Tough Guys;440;Comedy;21458229;48758184;
52;The Color of Money;440;Drama;R;52293000;117957323
53;Outrageous Fortune;436;Comedy;R;52864741;113976921
54;Tin Men;435;Comedy;25411386;54787202;
55;Ernest Goes to Camp;432;Comedy;23509382;50686462;
56;Benji the Hunted;432;Adventure;15212539;32798382;
57;Adventures in Babysitting;431;Comedy;33790923;72853569;
58;Stakeout;430;Comedy;R;65673233;141592160
59;Can't Buy Me Love;430;Romantic Comedy;31623833;68181300;
60;Hello Again;427;Comedy;20419446;44024529;
61;3 Men and a Baby;426;Comedy;PG;167780960;353334607
62;Good Morning Vietnam;425;Comedy;R;123922370;254414837
63;Shoot to Kill;424;Action;29300000;60097074;
64;D.O.A.;423;Thriller/Suspense;12706478;26062188;
65;Return to Snowy River;422;Adventure;PG;13687027;28073384
66;Big Business;420;Comedy;PG;40150487;82352451
67;Who Framed Roger Rabbit?;419;Comedy;PG;154112492;316250084
68;Cocktail;418;Drama;R;78222753;160442289
69;The Rescue;418;Action;5855392;12009960;
70;Heartbreak Hotel;416;Comedy;5509417;11300331;
71;The Good Mother;415;Drama;4764606;9772655;
72;Ernest Saves Christmas;415;Comedy;PG;28202109;57845202
73;Oliver & Company;415;Adventure;G;49576671;102254492
74;Beaches;413;Drama;PG-13;57041866;120381757
75;Three Fugitives;412;Comedy;PG-13;40590000;85757817
76;New York Stories;411;Drama;PG;10763469;22740861
77;Disorganized Crime;410;Comedy;7210149;15233465;
78;Dead Poets Society;408;Drama;PG;95860116;202531517
79;Honey  I Shrunk the Kids;407;Adventure;PG;130724172;276191669
80;Turner & Hooch;406;Comedy;PG;71079915;150176361
81;Cheetah;406;Adventure;7882250;16653473;
82;An Innocent Man;404;Drama;R;19397847;40983414
83;Gross Anatomy;403;Drama;PG-13;11346186;23972012
84;The Little Mermaid;403;Adventure;G;111543479;223726012
85;Blaze;402;Drama;R;19049727;39884640
86;Stella;400;Drama;PG-13;20062347;40077147
87;Where the Heart Is;399;Comedy;1106475;2210321;
88;Pretty Woman;398;Romantic Comedy;R;178406268;356389765
89;Ernest Goes to Jail;398;Comedy;PG;25029569;49999822
90;Spaced Invaders;397;Comedy;PG;15000000;29964452
91;Fire Birds;396;Action;PG-13;14760451;29485923
92;Dick Tracy;396;Action;PG;103738726;207231621
93;Betsy's Wedding;395;Comedy;R;19740070;39433357
94;Arachnophobia;395;Thriller/Suspense;PG-13;53208180;106290270
95;DuckTales: The Movie - Treasure of th…;394;Adventure;G;18075331;36107823
96;Taking Care of Business;394;Comedy;R;20005435;39963460
97;Mr. Destiny;392;Comedy;PG-13;15379253;30722056
98;The Rescuers Down Under;391;Adventure;G;27931461;55796728
99;3 Men and a Little Lady;390;Comedy;PG;71609321;143108869
100;Green Card;389;Romantic Comedy;PG-13;29804169;59679131
101;White Fang;389;Adventure;PG;34729091;69540672
102;Scenes from a Mall;387;Comedy;9563393;19149495;
103;Haakon Haakonsen;387;Adventure;PG;15024232;30084149
104;The Marrying Man;386;Romantic Comedy;R;12454768;24939118
105;Oscar;385;Comedy;PG;23562716;47181395
106;One Good Cop;385;Action;R;11276846;22580472
107;What About Bob?;385;Comedy;PG;63710000;127571325
108;Wild Hearts Can't Be Broken;384;Drama;7300000;14617333;
109;The Rocketeer;383;Action;PG;46573027;93256673
110;The Doctor;382;Drama;PG-13;37497480;75084021
111;Paradise;381;Drama;PG-13;18634643;37313540
112;Deceived;380;Thriller/Suspense;PG-13;28738096;57544453
113;Ernest Scared Stupid;380;Comedy;PG;14143280;28320147
114;Billy Bathgate;379;Drama;R;15565363;31167691
115;Beauty and the Beast;379;Musical;G;218951625;363017667
116;Father of the Bride;377;Comedy;PG;89325780;179821881
117;The Hand That Rocks the Cradle;377;Thriller/Suspense;R;88036683;178831137
118;Medicine Man;376;Drama;PG-13;44948240;91304495
119;Blame it on the Bellboy;375;Comedy;PG-13;2891055;5872667
120;Noises Off...;374;Comedy;PG-13;2280148;4631720
121;Straight Talk;374;Comedy;PG;21202099;43068356
122;Newsies;374;PG;2706352;5497481;
123;Passed Away;373;PG-13;4030793;8187848;
124;Encino Man;372;Comedy;PG;40057130;81369058
125;Sister Act;372;Comedy;PG;139605150;283583472
126;Honey I Blew Up the Kid;371;Comedy;PG;58662452;119162518
127;A Stranger Among Us;371;Drama;PG-13;12282994;24950752
128;3 Ninjas;370;Action;PG;29028000;58965304
129;A Gun in Betty Lou's Handbag;369;PG-13;3591460;7295423;
130;Captain Ron;369;Comedy;PG-13;22518097;45741576
131;Sarafina!;369;Drama;PG-13;7306242;14841352
132;Innocent Blood;368;Horror;R;4877567;9907922
133;The Mighty Ducks;368;Comedy;PG;50752337;103120810
134;1492: Conquest of Paradise;368;Adventure;PG-13;7099531;14421454
135;Consenting Adults;368;Drama;R;21591728;43859823
136;Aladdin;367;Comedy;G;217350219;441969178
137;The Distinguished Gentleman;366;Comedy;R;46434570;94349900
138;The Muppet Christmas Carol;366;Comedy;G;27281507;55417615
139;Alive;365;Adventure;R;36299670;73914543
140;Aspen Extreme;364;Romantic Comedy;PG-13;7843388;15970955
141;Homeward Bound: The Incredible Journey;364;Adventure;G;41833324;85182343
142;The Cemetery Club;364;Comedy;PG-13;5583621;11369541
143;Swing Kids;363;Musical;PG-13;5632086;11468231
144;A Far Off Place;363;Adventure;PG;12890752;26248558
145;Born Yesterday;362;Romantic Comedy;PG;17760754;36165012
146;The Adventures of Huck Finn;362;Adventure;PG;24103594;49080505
147;Bound by Honor;362;R;4496583;9156084;
148;Indian Summer;361;Comedy;R;14717851;29968953
149;Super Mario Bros.;360;Action;PG;20844907;42445058
150;Guilty as Sin;360;Thriller/Suspense;R;22622537;46064723
151;Life With Mikey;360;Comedy;PG;12349549;25146538
152;What's Love Got to Do With It;360;Drama;R;39100956;79618610
153;Son in Law;359;Comedy;PG-13;25989889;52921433
154;Hocus Pocus;359;Comedy;PG;39360491;80147079
155;Another Stakeout;358;Comedy;PG-13;20107504;40943541
156;My Boyfriend's Back;358;PG-13;3218882;6554384;
157;Father Hood;357;PG-13;3268203;6654819;
158;The Joy Luck Club;357;Drama;R;32790064;66768171
159;Money for Nothing;357;Comedy;R;1044824;2127496
160;The Program;356;Action;R;23042200;46919256
161;Cool Runnings;356;Comedy;PG;68856263;140392731
162;The Nightmare Before Christmas;356;Musical;PG;50408318;100026637
163;The Three Musketeers;355;Adventure;PG;53661805;109310377
164;Sister Act 2 Back in the Habit;354;Comedy;PG;57319029;116965668
165;Tombstone;353;Western;R;56505065;115781734
166;The Air Up There;353;Comedy;PG;20782439;42940186
167;Cabin Boy;353;Comedy;PG-13;3469493;7168577
168;Iron Will;353;Drama;PG;20623071;42610902
169;Red Rock West;352;R;2502551;5170709;
170;Blank Check;352;Comedy;PG;30573770;63170804
171;Angie;351;Comedy;R;9252349;19116981
172;The Ref;351;Comedy;R;11325885;23401275
173;D2: The Mighty Ducks;350;Comedy;PG;45604206;94226333
174;Holy Matrimony;350;Comedy;713234;1473665;
175;White Fang 2: Myth of the White Wolf;350;Adventure;PG;8752399;18083994
176;The Inkwell;349;Comedy;R;8864699;18316030
177;When a Man Loves a Woman;349;Drama;R;50021959;103354194
178;3 Ninjas Kick Back;349;Action;PG;11744960;24267154
179;Renaissance Man;348;Comedy;PG-13;24172899;49945474
180;The Lion King;348;Adventure;G;422780140;761640898
181;I Love Trouble;347;Romantic Comedy;PG;30806194;63651027
182;Angels in the Outfield;347;Comedy;PG;50236831;103798152
